ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
1337109665,CanadaWide Liquidations,146.89,Used - Good,bookscheap46,100.8,Used - Very Good,True,100.8,134.064,-0.31,-0.38,-0.42
1305646525,Virtual_Books,82.79,Used - Like New,RockCityBooks,98.89,Used - Acceptable,True,98.89,131.52370000000002,0.19,0.08,0.02
032197137X,Amazon,185.13,New,Perpetual Textbooks,130.94,Used - Acceptable,True,130.94,174.1502,-0.29,-0.36,-0.4
0785220852,Amazon,121.31,New,Amazon,89.43,New,False,89.43,118.94190000000002,-0.26,-0.34,-0.37
1936221861,Distant_books,91.0,New,WilyShopper,73.16,Used - Good,True,73.16,97.3028,-0.2,-0.28,-0.32
0073534498,Amazon,233.11,New,Good Book Creations,80.0,Used - Very Good,True,80.0,106.4,-0.66,-0.69,-0.71
1305576519,Distant_books,74.99,New,FlippingPages,52.52,Used - Good,True,52.52,69.8516,-0.3,-0.37,-0.4
1591943094,UrbanInspirations,134.3,New,bookexhibitor,62.8,New,True,62.8,83.524,-0.53,-0.58,-0.6
1506235484,Flipping Llama,399.99,New,Zephyr Global,89.0,Used - Good,True,89.0,118.37,-0.78,-0.8,-0.81
0134685776,Second Bind,164.73,New,Half-Price Hank's Books,80.17,Used - Good,True,80.17,106.6261,-0.51,-0.56,-0.59
0134874374,fakeDict,-99.0,something wrong happened,KOPKO,163.9,Used - Very Good,True,163.9,217.987,-2.66,-2.49,-2.41
0801026938,Amazon,55.0,New,Amazon,52.49,New,False,52.49,69.8117,-0.05,-0.14,-0.19
1462774059,Amazon,196.77,New,LifeWay Christian Store,149.99,New,True,149.99,199.4867,-0.24,-0.31,-0.35
0310450756,BookOutlet Canada,120.88,Used - Like New,Helleborine Velvet,78.8,Used - Like New,True,78.8,104.804,-0.35,-0.41,-0.45
145221686X,Book Depository CA,66.08,New,FlippingPages,44.09,Used - Acceptable,True,44.09,58.63970000000001,-0.33,-0.4,-0.43
1433648083,Amazon,81.44,New,Lower-Christian-Prices,54.09,New,True,54.09,71.9397,-0.34,-0.4,-0.44
0914098918,omnibook-ca,148.83,Used - Good,RockCityBooks,93.83,Used - Good,True,93.83,124.7939,-0.37,-0.43,-0.46
1305076516,U.R.G. Books,89.99,Used - Very Good,textbook500,84.95,Used - Good,True,84.95,112.9835,-0.06,-0.15,-0.2
0134395328,fakeDict,-99.0,something wrong happened,Goodbooks Company,102.7,Used - Good,True,102.7,136.591,-2.04,-1.93,-1.88
1614285918,Amazon,110.99,New,Books In Demand,80.67,Used - Acceptable,True,80.67,107.2911,-0.27,-0.35,-0.38
0983141169,Amazon,98.21,New,Amazon,70.19,New,False,70.19,93.3527,-0.29,-0.36,-0.39
0134302389,Kelowna Books,176.44,New,Wholesale Textbooks Direct,108.77,Used - Good,True,108.77,144.6641,-0.38,-0.45,-0.48
1506347207,Lone_Gunman,125.95,Used - Very Good,"Apollo Distribution, LLC",63.88,Used - Good,True,63.88,84.9604,-0.49,-0.54,-0.57
1591432014,Amazon,101.18,New,BuyLow Warehouse LLC,55.67,Used - Acceptable,True,55.67,74.0411,-0.45,-0.5,-0.53
1471174824,fakeDict,-99.0,something wrong happened,eclipse books,53.98,New,True,53.98,71.7934,-1.55,-1.49,-1.46
0190905387,Amazon,65.29,New,Amazon,59.29,New,False,59.29,78.8557,-0.09,-0.18,-0.23
1455738115,Amazon,127.06,New,itemspopularsonlineaindemand,74.9,New,True,74.9,99.61700000000002,-0.41,-0.47,-0.5
1450477674,CLS FBA,124.99,Used - Very Good,apex_media,49.99,Used - Acceptable,True,49.99,66.48670000000001,-0.6,-0.64,-0.66
013429601X,Canada Thrift,149.99,Used - Very Good,🎓 Graduation Station,95.74,Used - Good,True,95.74,127.3342,-0.36,-0.43,-0.46
1337565695,Amazon,159.95,New,Audiophiles & Bibliophiles,99.99,Used - Acceptable,True,99.99,132.9867,-0.37,-0.44,-0.47
1640781692,Amazon,72.21,New,Amazon,59.97,New,False,59.97,79.76010000000002,-0.17,-0.25,-0.29
1260085511,Book Depository CA,90.0,New,TEXTBookAMAZING,55.5,New,True,55.5,73.815,-0.38,-0.44,-0.48
1496324811,Amazon,113.88,New,book182wire,56.15,New,True,56.15,74.6795,-0.51,-0.56,-0.58
0899579167,Amazon,90.28,New,Amazon,59.81,New,False,59.81,79.5473,-0.34,-0.4,-0.44
0134893751,Amazon,108.31,New,Amazon,75.98,New,False,75.98,101.0534,-0.3,-0.37,-0.4
0870610635,Amazon,209.21,New,Amazon,189.23,New,False,189.23,251.6759,-0.1,-0.19,-0.23
0521876222,Amazon,79.95,New,Amazon,51.15,New,False,51.15,68.0295,-0.36,-0.42,-0.46
1319056636,Amazon,111.92,New,Amazon,75.8,New,False,75.8,100.814,-0.32,-0.39,-0.42
1412981816,Amazon,82.95,New,Amazon,61.0,New,False,61.0,81.13000000000002,-0.26,-0.34,-0.37
0803658486,Amazon,117.38,New,Perpetual Textbooks,52.87,Used - Acceptable,True,52.87,70.3171,-0.55,-0.59,-0.62
131911329X,Book Depository CA,130.09,New,BlinkingPages,155.55,New,True,155.55,206.8815,0.2,0.08,0.02
1337558508,Book Depository CA,153.48,New,🎓 Graduation Station,89.98,Used - Good,True,89.98,119.67340000000002,-0.41,-0.47,-0.5
0134243811,Amazon,185.0,New,Joaquin Suppliers,99.0,Used - Good,True,99.0,131.67000000000002,-0.46,-0.52,-0.55
1305645340,Amazon,105.74,New,Pudgy Peanut Inc.,69.99,Used - Very Good,True,69.99,93.0867,-0.34,-0.4,-0.44
0073385379,Distant_books,99.92,Used - Like New,FranklinMedia,57.52,Used - Acceptable,True,57.52,76.50160000000002,-0.42,-0.48,-0.51
1930034229,Book Depository CA,90.89,New,Amazon,74.38,New,False,74.38,98.9254,-0.18,-0.26,-0.3
1628455527,Book Depository CA,85.8,New,Amazon,66.99,New,False,66.99,89.0967,-0.22,-0.3,-0.34
0521784506,Amazon,74.95,New,FlippingPages,51.16,Used - Good,True,51.16,68.0428,-0.32,-0.39,-0.42
1305115546,Kennys Bookshop & Art Gallery,153.29,New,FlippingPages,60.93,Used - Acceptable,True,60.93,81.0369,-0.6,-0.64,-0.66
0887073360,fakeDict,-99.0,something wrong happened,FlippingPages,56.59,Used - Good,True,56.59,75.2647,-1.57,-1.51,-1.49
0310438667,Foster House Books,69.95,Used - Good,Lower-Christian-Prices,57.89,New,True,57.89,76.9937,-0.17,-0.26,-0.3
0134459369,Amazon,84.15,New,FlippingPages,55.93,Used - Good,True,55.93,74.3869,-0.34,-0.4,-0.44
0310082463,Amazon,153.29,New,Lamantra,103.74,Used - Good,True,103.74,137.9742,-0.32,-0.39,-0.42
0521887054,Amazon,79.95,New,Amazon,64.44,New,False,64.44,85.7052,-0.19,-0.27,-0.31
0393614042,fakeDict,-99.0,something wrong happened,Spot Light Media,94.03,Used - Acceptable,True,94.03,125.0599,-1.95,-1.85,-1.81
0073405981,fakeDict,-99.0,something wrong happened,The Green Book Company,69.05,Used - Good,True,69.05,91.8365,-1.7,-1.63,-1.59
1138015962,Kennys Bookshop & Art Gallery,138.13,New,🎓 Graduation Station,64.99,Used - Good,True,64.99,86.4367,-0.53,-0.58,-0.6
1401270425,Amazon,100.39,New,Amazon,73.6,New,False,73.6,97.888,-0.27,-0.34,-0.38
019973979X,Neska Booklist,69.41,Used - Very Good,Frankie books,70.0,Used - Very Good,True,70.0,93.1,0.01,-0.09,-0.14
0134705181,GTATEXTBOOKS (GREATER TORONTO AREA),206.93,Used - Very Good,🎓 Graduation Station,123.55,Used - Good,True,123.55,164.3215,-0.4,-0.46,-0.49
1107014026,Amazon,79.95,New,FlippingPages,44.98,Used - Good,True,44.98,59.8234,-0.44,-0.49,-0.52
0321998596,Amazon,175.87,New,FlippingPages,44.33,Used - Acceptable,True,44.33,58.9589,-0.75,-0.77,-0.79
0134632338,Amazon,158.61,New,RentU,103.99,Used - Good,True,103.99,138.3067,-0.34,-0.41,-0.44
1603595309,Book Depository CA,85.15,New,Amazon,65.7,New,False,65.7,87.38100000000001,-0.23,-0.31,-0.34
0899579175,Book Depository CA,112.16,New,apex_media,65.82,Used - Good,True,65.82,87.5406,-0.41,-0.47,-0.5
0321976495,Amazon,170.0,New,apex_media,54.65,Used - Acceptable,True,54.65,72.6845,-0.68,-0.71,-0.73
0133431061,UrbanInspirations,104.53,New,Amazon,46.62,New,False,46.62,62.0046,-0.55,-0.6,-0.62
0073519588,Amazon,163.95,New,FranklinMedia,58.65,Used - Acceptable,True,58.65,78.00450000000002,-0.64,-0.68,-0.7
1496402049,Amazon,78.83,New,Amazon,52.27,New,False,52.27,69.51910000000001,-0.34,-0.4,-0.44
0078021510,Russell-books,502.92,New,apex_media,65.44,Used - Good,True,65.44,87.0352,-0.87,-0.88,-0.89
1337399922,Book Depository CA,165.32,New,Unleash-Inc,95.26,New,True,95.26,126.69580000000002,-0.42,-0.48,-0.51
