ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
1591265304,TextbooksMarket,79.99,Used - Good,PPI - ppi2pass (authorized publisher),94.5,New,True,94.5,125.685,0.18,0.06,0.0
159126443X,Amazon,180.82,New,FlippingPages,78.8,Used - Good,True,78.8,104.804,-0.56,-0.61,-0.63
1479391271,Amazon,117.79,New,Crestwood Sales,62.58,Used - Good,True,62.58,83.23140000000002,-0.47,-0.52,-0.55
0190276096,Textbook Fortune,67.99,Used - Good,HigherEdBooks5,58.33,Used - Very Good,True,58.33,77.5789,-0.14,-0.23,-0.27
1259706613,Amazon,288.92,New,Savage Textbooks 📚,99.99,Used - Good,True,99.99,132.9867,-0.65,-0.69,-0.71
1401897258,Amazon,95.45,New,SuperExpressDeals,89.08,New,False,89.08,118.4764,-0.07,-0.16,-0.21
1586179721,Amazon,80.95,New,Amazon,56.0,New,False,56.0,74.48,-0.31,-0.38,-0.41
1111578702,Hinoyama#CA,208.71,Used - Good,Textbooks for Heroes,85.99,Used - Good,True,85.99,114.3667,-0.59,-0.63,-0.65
0781445418,Amazon,85.4,New,Amazon,60.99,New,False,60.99,81.11670000000002,-0.29,-0.36,-0.39
1305498208,Russell-books,321.91,New,Perpetual Textbooks,69.87,Used - Very Good,True,69.87,92.9271,-0.78,-0.8,-0.82
1305104943,momox_Shop,73.46,Used - Very Good,apex_media,45.66,New,True,45.66,60.7278,-0.38,-0.44,-0.47
928324494X,Amazon,188.93,New,Globalmart Online Shop,105.77,New,True,105.77,140.6741,-0.44,-0.5,-0.52
1418542253,Amazon,90.51,New,Inside Zone,59.99,Used - Like New,True,59.99,79.78670000000002,-0.34,-0.4,-0.44
013480208X,Book Depository CA,144.29,New,Eric's Books & More,78.85,Used - Acceptable,True,78.85,104.8705,-0.45,-0.51,-0.54
1626886059,fakeDict,-99.0,something wrong happened,apex_media,53.39,Used - Good,True,53.39,71.0087,-1.54,-1.49,-1.46
1319071236,BookMobCanada,88.0,Used - Good,-Book$Run Textbooks-,69.35,Used - Acceptable,False,69.35,92.2355,-0.21,-0.29,-0.33
031043758X,Russell-books,131.42000000000002,New,Castle Combe Books,54.8,Used - Very Good,True,54.8,72.884,-0.58,-0.62,-0.65
0134605187,Amazon,185.0,New,Abundance Booksellers,98.05,Used - Acceptable,True,98.05,130.4065,-0.47,-0.52,-0.55
1684470560,Book Depository CA,110.0,New,Amazon,78.34,New,False,78.34,104.1922,-0.29,-0.36,-0.39
